BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO,ÁREA TERRITORIAL DISPONÍVEL,SCORE FINAL,RENDA MENSAL,ÍNDICE DE ACESSIBILIDADE
Camorim,91.2,4199,1.675,1682679,2.345,1908.91,2.39
Santo Cristo,90.8,3911,1.722,177515,1.394,2610.02,1.74
Estácio,64.1,3814,1.52,36829,1.109,2572.89,1.25
Jacarepaguá,46.7,36857,1.03,33775508,4.851,1980.72,1.18
Cidade Nova,55.05,1960,1.876,345756,1.642,2438.34,1.13
Glória,172.65,4798,2.125,19044,1.11,7606.13,1.13
Catete,147.7,7211,1.636,217784,1.419,6723.38,1.1
Urca,278.1,2186,5.0,7355,1.199,14236.35,0.98
Santa Teresa,78.8,10266,1.232,453588,1.462,4156.67,0.95
Vicente de Carvalho,39.6,5278,1.227,292115,1.353,2209.38,0.9
Leme,198.6,5762,2.077,15232,1.086,12905.11,0.77
Itanhangá,36.25,4513,1.244,4401808,2.632,2416.11,0.75
Rocha,39.3,5730,1.207,69275,1.126,2709.5,0.73
Centro,66.1,22557,1.083,106265,1.149,4751.97,0.7
Parada de Lucas,28.700000000000003,5906,1.144,115747,1.173,2186.58,0.66
Colégio,31.4,4520,1.209,231194,1.299,2375.98,0.66
Guaratiba,27.95,15864,1.046,35276898,5.0,2131.29,0.66
Guadalupe,36.1,10160,1.102,413963,1.383,2916.05,0.62
Inhaúma,31.9,9125,1.101,437197,1.396,2568.67,0.62
Rio Comprido,35.4,8898,1.116,433382,1.4,2894.92,0.61
São Cristóvão,44.4,9018,1.146,357971,1.368,3750.56,0.59
Vigário Geral,24.9,4909,1.15,657873,1.53,2234.64,0.56
Santíssimo,28.4,4875,1.174,4539029,2.561,2529.31,0.56
Inhoaíba,22.7,6730,1.097,2708309,2.104,2119.96,0.54
Vila Kosmos,31.450000000000003,4514,1.21,274414,1.334,2923.19,0.54
Paciência,23.700000000000003,15477,1.039,14841011,3.548,2201.21,0.54
Cordovil,24.3,9568,1.071,575130,1.451,2231.08,0.54
Tomás Coelho,27.1,6819,1.116,710011,1.535,2575.31,0.53
Ipanema,181.5,21788,1.253,10130,1.0,17367.44,0.52
Vila da Penha,54.35,9996,1.162,18140,1.02,5194.36,0.52
Vargem Grande,35.0,3521,1.304,15572315,4.299,3381.39,0.52
Curicica,33.7,6261,1.16,1058481,1.701,3322.18,0.51
Cascadura,30.65,8761,1.101,507252,1.432,3020.98,0.51
Honório Gurgel,26.3,4540,1.173,349627,1.373,2655.16,0.5
Copacabana,102.7,75872,1.033,217411,1.234,11062.82,0.46
Lins de Vasconcelos,34.9,9058,1.112,498043,1.433,3912.8,0.45
Maria da Graça,34.2,2777,1.379,12964,1.02,3812.09,0.45
Vargem Pequena,34.1,6648,1.152,10011496,3.313,3777.55,0.45
Cosmos,19.450000000000003,13755,1.035,4516781,2.363,2250.95,0.43
Praça da Bandeira,50.7,3486,1.449,16642,1.04,5968.7,0.42
Encantado,28.4,4667,1.182,35902,1.064,3402.12,0.42
Bento Ribeiro,31.2,9612,1.093,239241,1.268,3715.36,0.42
Engenho da Rainha,22.5,4228,1.158,814235,1.604,2768.23,0.41
Sampaio,24.8,2022,1.377,156219,1.275,3050.81,0.41
São Francisco Xavier,35.4,2924,1.372,234010,1.353,4344.1,0.41
Cavalcanti,21.6,3773,1.171,687778,1.555,2638.13,0.41
Irajá,30.700000000000003,26601,1.027,800951,1.521,3773.31,0.41
Penha,23.9,14944,1.041,1060606,1.622,2884.09,0.41
Engenho Novo,30.05,13788,1.059,605366,1.459,3727.65,0.4
Campinho,30.65,2269,1.416,128962,1.251,3959.43,0.39
Madureira,24.7,12583,1.052,700308,1.496,3208.21,0.38
Pavuna,18.2,18951,1.021,2044400,1.877,2417.92,0.38
Taquara,33.2,32719,1.022,3174771,2.114,4345.71,0.38
Campo Grande,27.2,89855,1.0,26645069,4.309,3560.43,0.38
Pilares,23.05,6903,1.096,104684,1.15,3063.2,0.38
Tanque,26.45,5942,1.131,1155738,1.716,3440.91,0.38
Engenho de Dentro,31.65,16654,1.05,1856856,1.857,4320.24,0.37
Piedade,23.35,11980,1.052,414532,1.362,3184.36,0.37
Laranjeiras,86.45,19761,1.128,216449,1.262,12070.62,0.36
Brás de Pina,18.3,13117,1.034,402500,1.348,2560.06,0.36
Leblon,136.95,22244,1.185,73218,1.128,18852.38,0.36
Olaria,27.6,15376,1.047,352640,1.326,3896.67,0.35
Del Castilho,25.25,5441,1.137,321941,1.341,3592.66,0.35
Jardim América,21.3,6313,1.097,223535,1.258,3041.17,0.35
Anil,37.1,10877,1.098,614694,1.483,5369.67,0.35
Bonsucesso,26.8,7383,1.105,175780,1.222,3917.38,0.34
Osvaldo Cruz,23.3,8344,1.078,144150,1.186,3408.1,0.34
Marechal Hermes,22.2,9598,1.063,424495,1.372,3385.05,0.33
Praça Seca,24.8,16312,1.038,2290394,1.95,3712.21,0.33
Flamengo,74.5,25506,1.083,30889,1.042,11383.51,0.33
Jardim Botânico,108.4,6789,1.494,421699,1.555,16256.81,0.33
Engenheiro Leal,16.950000000000003,1135,1.461,97596,1.217,2628.93,0.32
Humaitá,88.3,6964,1.39,197026,1.323,13811.53,0.32
Cachambi,35.349999999999994,13204,1.075,76274,1.112,5501.64,0.32
São Conrado,96.2,3910,1.766,2269698,2.666,15460.84,0.31
Quintino Bocaiúva,21.5,8565,1.07,209404,1.239,3451.27,0.31
Portuguesa,30.7,6950,1.13,23031,1.03,5167.89,0.3
Ramos,21.6,10417,1.056,190054,1.22,3603.62,0.3
Pechincha,39.2,12647,1.088,294368,1.305,6664.13,0.29
Riachuelo,25.4,5127,1.147,179589,1.237,4313.61,0.29
Penha Circular,20.4,12340,1.043,5772935,2.564,3464.51,0.29
Freguesia (Jacarepaguá),46.1,22038,1.056,1211889,1.681,7864.41,0.29
Higienópolis,21.5,5083,1.124,42367,1.069,3831.74,0.28
Vila Isabel,38.4,27838,1.034,311784,1.297,6915.71,0.28
Jardim Sulacap,30.9,4760,1.195,3833378,2.455,5617.33,0.28
Abolição,23.75,3821,1.186,20761,1.029,4351.76,0.27
Barra da Tijuca,87.85,61796,1.035,15409715,3.587,16629.92,0.26
Recreio dos Bandeirantes,59.6,47152,1.03,19171173,3.881,11580.85,0.26
Tijuca,48.2,49028,1.021,687909,1.474,9426.29,0.26
Méier,35.3,16931,1.056,38355,1.053,6844.58,0.26
Senador Vasconcelos,12.6,4470,1.079,2971862,2.14,2475.62,0.25
Vila Valqueire,27.9,12381,1.061,650275,1.479,5847.21,0.24
Maracanã,46.6,11655,1.116,46457,1.075,9694.16,0.24
Ribeira,32.1,1491,1.669,56619,1.178,6857.41,0.23
Todos os Santos,27.6,8051,1.099,124045,1.171,7053.52,0.2
Lagoa,81.05,9094,1.271,71335,1.14,20440.67,0.2
Grajaú,33.3,13807,1.066,400681,1.361,8350.43,0.2
Gávea,53.2,6414,1.252,488794,1.492,14686.65,0.18
Andaraí,23.65,12440,1.05,151016,1.185,6496.65,0.18
Vista Alegre,14.2,2763,1.152,12291,1.001,4517.68,0.16
Botafogo,40.8,37501,1.025,274254,1.27,12769.53,0.16
Vaz Lobo,10.35,2860,1.105,190086,1.234,3400.44,0.15
Jardim Guanabara,22.9,11615,1.053,134343,1.171,9863.93,0.12
Joá,23.7,390,2.906,408597,2.138,12857.17,0.09
